2024-05-17 12:25:39,214 - Screen recording started
2024-05-17 12:25:39,821 - Firefox browser is not installed
2024-05-17 12:25:39,828 - Firefox history saved to C:\Users\DILEEBAN\PycharmProjects\cybersecurity\Logs\Browser_History\Firefox_history.txt
2024-05-17 12:25:45,622 - Chrome history saved to C:\Users\DILEEBAN\PycharmProjects\cybersecurity\Logs\Browser_History\Chrome_history.txt
2024-05-17 12:25:45,622 - Error fetching history from Safari: Safari browser is not supported on Windows
2024-05-17 12:25:45,622 - Brave browser is not installed
2024-05-17 12:25:45,683 - Brave history saved to C:\Users\DILEEBAN\PycharmProjects\cybersecurity\Logs\Browser_History\Brave_history.txt
2024-05-17 12:25:45,685 - Error fetching history from Opera: [WinError 2] The system cannot find the file specified: 'C:\\Users\\DILEEBAN\\AppData\\Roaming\\Opera Software\\Opera Stable\\History'
2024-05-17 12:25:49,100 - Edge history saved to C:\Users\DILEEBAN\PycharmProjects\cybersecurity\Logs\Browser_History\Edge_history.txt
2024-05-17 12:25:51,305 - Mouse moved to (46.62 cm, 2.51 cm)
2024-05-17 12:25:51,305 - Mouse moved to (48.21 cm, 3.57 cm)
2024-05-17 12:25:51,330 - Mouse moved to (49.42 cm, 4.58 cm)
2024-05-17 12:25:51,368 - Mouse moved to (52.33 cm, 7.17 cm)
2024-05-17 12:25:51,384 - Mouse moved to (53.90 cm, 10.82 cm)
2024-05-17 12:25:51,694 - Mouse moved to (50.77 cm, 10.82 cm)
2024-05-17 12:25:51,725 - Mouse moved to (50.46 cm, 10.98 cm)
2024-05-17 12:25:51,757 - Mouse moved to (45.43 cm, 15.64 cm)
2024-05-17 12:25:51,796 - Mouse moved to (38.39 cm, 25.16 cm)
2024-05-17 12:25:51,817 - Mouse moved to (37.68 cm, 26.51 cm)
2024-05-17 12:25:51,843 - Mouse moved to (36.96 cm, 28.81 cm)
2024-05-17 12:25:52,105 - Mouse moved to (36.96 cm, 28.57 cm)
2024-05-17 12:25:52,139 - Mouse moved to (37.57 cm, 29.00 cm)
2024-05-17 12:25:52,234 - Mouse moved to (39.34 cm, 28.65 cm)
2024-05-17 12:25:52,234 - Mouse moved to (39.48 cm, 28.52 cm)
2024-05-17 12:25:52,234 - Mouse moved to (39.56 cm, 28.47 cm)
2024-05-17 12:25:52,250 - Mouse moved to (39.69 cm, 28.39 cm)
2024-05-17 12:25:52,356 - Mouse moved to (40.53 cm, 28.02 cm)
2024-05-17 12:25:52,451 - Mouse moved to (41.04 cm, 27.83 cm)
2024-05-17 12:25:52,482 - Mouse moved to (41.22 cm, 27.73 cm)
2024-05-17 12:25:52,482 - Mouse moved to (41.27 cm, 27.73 cm)
2024-05-17 12:25:52,560 - Mouse moved to (41.33 cm, 27.70 cm)
2024-05-17 12:25:52,585 - Mouse moved to (41.91 cm, 27.36 cm)
2024-05-17 12:25:52,601 - Mouse moved to (41.99 cm, 27.30 cm)
2024-05-17 12:25:52,679 - Mouse moved to (42.92 cm, 26.80 cm)
2024-05-17 12:25:52,679 - Mouse moved to (42.97 cm, 26.78 cm)
2024-05-17 12:25:52,726 - Mouse moved to (43.15 cm, 26.64 cm)
2024-05-17 12:25:52,742 - Mouse moved to (43.21 cm, 26.59 cm)
2024-05-17 12:25:52,770 - Mouse moved to (43.21 cm, 26.59 cm)
2024-05-17 12:25:53,154 - Mouse Pressed at (1633, 1005) with Button.left
2024-05-17 12:25:53,298 - Mouse Released at (1633, 1005) with Button.left
2024-05-17 12:25:54,398 - a pressed
2024-05-17 12:25:54,995 - s pressed
2024-05-17 12:25:56,886 - Mouse moved to (43.18 cm, 26.59 cm)
2024-05-17 12:25:56,933 - Mouse moved to (41.78 cm, 26.01 cm)
2024-05-17 12:25:56,948 - Mouse moved to (34.58 cm, 22.94 cm)
2024-05-17 12:25:56,963 - Mouse moved to (26.80 cm, 19.87 cm)
2024-05-17 12:25:56,979 - Mouse moved to (22.41 cm, 18.49 cm)
2024-05-17 12:25:57,016 - Mouse moved to (20.58 cm, 17.38 cm)
2024-05-17 12:25:57,025 - Mouse moved to (12.67 cm, 16.06 cm)
2024-05-17 12:25:57,071 - Mouse moved to (8.23 cm, 16.46 cm)
2024-05-17 12:25:57,219 - Screenshot captured
2024-05-17 12:25:57,279 - Mouse moved to (8.15 cm, 16.43 cm)
2024-05-17 12:25:57,302 - Mouse moved to (6.14 cm, 15.45 cm)
2024-05-17 12:25:57,319 - Mouse moved to (1.32 cm, 12.96 cm)
2024-05-17 12:25:57,335 - Mouse moved to (-0.16 cm, 12.22 cm)
2024-05-17 12:25:57,336 - Mouse moved to (-1.35 cm, 11.51 cm)
2024-05-17 12:25:57,359 - Mouse moved to (-0.95 cm, 11.01 cm)
2024-05-17 12:25:57,403 - Mouse moved to (-1.16 cm, 10.03 cm)
2024-05-17 12:25:57,628 - Mouse moved to (0.03 cm, 9.95 cm)
2024-05-17 12:25:57,644 - Mouse moved to (0.34 cm, 9.74 cm)
2024-05-17 12:25:57,671 - Mouse moved to (0.56 cm, 9.63 cm)
2024-05-17 12:25:57,671 - Mouse moved to (1.19 cm, 9.39 cm)
2024-05-17 12:25:57,703 - Mouse moved to (1.93 cm, 9.34 cm)
2024-05-17 12:25:57,703 - Mouse moved to (2.14 cm, 9.34 cm)
2024-05-17 12:25:57,719 - Mouse moved to (2.28 cm, 9.34 cm)
2024-05-17 12:25:57,750 - Mouse moved to (2.38 cm, 9.34 cm)
2024-05-17 12:25:57,767 - Mouse moved to (2.80 cm, 9.34 cm)
2024-05-17 12:25:57,782 - Mouse moved to (2.91 cm, 9.34 cm)
2024-05-17 12:25:57,788 - Mouse moved to (3.04 cm, 9.34 cm)
2024-05-17 12:25:57,819 - Mouse moved to (3.12 cm, 9.34 cm)
2024-05-17 12:25:57,870 - Mouse moved to (3.28 cm, 9.34 cm)
2024-05-17 12:25:57,887 - Mouse moved to (3.28 cm, 9.37 cm)
2024-05-17 12:25:57,919 - Mouse moved to (3.28 cm, 9.39 cm)
2024-05-17 12:25:57,942 - Mouse moved to (3.28 cm, 9.50 cm)
2024-05-17 12:25:57,953 - Mouse moved to (3.31 cm, 9.53 cm)
2024-05-17 12:25:57,971 - Mouse moved to (3.33 cm, 9.58 cm)
2024-05-17 12:25:58,007 - Mouse moved to (3.41 cm, 9.74 cm)
2024-05-17 12:25:58,019 - Mouse moved to (3.41 cm, 9.82 cm)
2024-05-17 12:25:58,055 - Mouse moved to (3.41 cm, 9.87 cm)
2024-05-17 12:25:58,103 - Mouse moved to (3.41 cm, 9.92 cm)
2024-05-17 12:25:58,120 - Mouse moved to (3.33 cm, 10.03 cm)
2024-05-17 12:25:58,136 - Mouse moved to (3.31 cm, 10.03 cm)
2024-05-17 12:25:58,153 - Mouse moved to (3.28 cm, 10.05 cm)
2024-05-17 12:25:58,154 - Mouse moved to (3.25 cm, 10.08 cm)
2024-05-17 12:25:58,191 - Mouse moved to (3.23 cm, 10.11 cm)
2024-05-17 12:25:58,217 - Mouse moved to (3.17 cm, 10.11 cm)
2024-05-17 12:25:58,219 - Mouse moved to (3.15 cm, 10.11 cm)
2024-05-17 12:25:58,234 - Mouse moved to (3.12 cm, 10.11 cm)
2024-05-17 12:25:58,269 - Mouse moved to (3.10 cm, 10.11 cm)
2024-05-17 12:25:58,302 - Mouse moved to (3.07 cm, 10.13 cm)
2024-05-17 12:25:58,589 - Mouse Pressed at (116, 383) with Button.left
2024-05-17 12:25:58,703 - Mouse Released at (116, 383) with Button.left
2024-05-17 12:25:58,953 - Mouse moved to (3.10 cm, 10.13 cm)
2024-05-17 12:25:58,986 - Mouse moved to (4.74 cm, 10.79 cm)
2024-05-17 12:25:59,002 - Mouse moved to (5.85 cm, 11.17 cm)
2024-05-17 12:25:59,053 - Mouse moved to (13.55 cm, 15.53 cm)
2024-05-17 12:25:59,070 - Mouse moved to (16.99 cm, 17.89 cm)
2024-05-17 12:25:59,070 - Mouse moved to (18.63 cm, 19.13 cm)
2024-05-17 12:25:59,103 - Mouse moved to (20.13 cm, 20.08 cm)
2024-05-17 12:25:59,203 - Mouse moved to (22.52 cm, 21.78 cm)
2024-05-17 12:25:59,286 - s pressed
2024-05-17 12:25:59,870 - Mouse moved to (22.52 cm, 21.78 cm)
2024-05-17 12:25:59,924 - Mouse moved to (22.54 cm, 21.78 cm)
2024-05-17 12:25:59,952 - Mouse moved to (23.57 cm, 21.99 cm)
2024-05-17 12:25:59,987 - Mouse moved to (25.61 cm, 22.33 cm)
2024-05-17 12:26:00,018 - Mouse moved to (27.62 cm, 22.78 cm)
2024-05-17 12:26:00,068 - Mouse moved to (29.08 cm, 23.18 cm)
2024-05-17 12:26:00,075 - Mouse moved to (29.18 cm, 23.18 cm)
2024-05-17 12:26:00,437 - Mouse moved to (29.24 cm, 23.20 cm)
2024-05-17 12:26:00,453 - Mouse moved to (32.57 cm, 24.58 cm)
2024-05-17 12:26:00,469 - Mouse moved to (32.76 cm, 24.69 cm)
2024-05-17 12:26:00,494 - Mouse moved to (32.78 cm, 24.71 cm)
2024-05-17 12:26:00,585 - Mouse moved to (32.78 cm, 24.74 cm)
2024-05-17 12:26:00,746 - Mouse moved to (32.81 cm, 24.74 cm)
2024-05-17 12:26:00,871 - Mouse moved to (33.71 cm, 25.35 cm)
2024-05-17 12:26:00,871 - Mouse moved to (33.79 cm, 25.35 cm)
2024-05-17 12:26:01,348 - Mouse moved to (33.87 cm, 25.35 cm)
2024-05-17 12:26:01,419 - Mouse moved to (34.08 cm, 25.35 cm)
2024-05-17 12:26:01,419 - Mouse moved to (37.78 cm, 25.66 cm)
2024-05-17 12:26:01,419 - Mouse moved to (38.39 cm, 25.77 cm)
2024-05-17 12:26:01,454 - Mouse moved to (38.87 cm, 25.85 cm)
2024-05-17 12:26:01,595 - Mouse moved to (39.71 cm, 26.14 cm)
2024-05-17 12:26:01,749 - Mouse moved to (39.79 cm, 26.14 cm)
2024-05-17 12:26:01,858 - Mouse moved to (40.51 cm, 26.25 cm)
2024-05-17 12:26:01,858 - Mouse moved to (40.53 cm, 26.25 cm)
2024-05-17 12:26:01,918 - Mouse moved to (40.59 cm, 26.25 cm)
2024-05-17 12:26:01,990 - Mouse moved to (40.61 cm, 26.19 cm)
2024-05-17 12:26:01,992 - Screenshot captured
2024-05-17 12:26:02,302 - Mouse moved to (40.64 cm, 26.19 cm)
2024-05-17 12:26:02,318 - Mouse moved to (40.83 cm, 26.11 cm)
2024-05-17 12:26:02,349 - Mouse moved to (40.90 cm, 26.04 cm)
2024-05-17 12:26:02,448 - Mouse moved to (42.47 cm, 25.88 cm)
2024-05-17 12:26:02,517 - Mouse moved to (42.52 cm, 25.88 cm)
2024-05-17 12:26:02,618 - Mouse moved to (42.52 cm, 25.88 cm)
2024-05-17 12:26:02,685 - Mouse moved to (42.49 cm, 25.85 cm)
2024-05-17 12:26:02,785 - Mouse moved to (41.62 cm, 25.45 cm)
2024-05-17 12:26:02,785 - Mouse moved to (40.80 cm, 25.11 cm)
2024-05-17 12:26:02,996 - Mouse moved to (40.80 cm, 25.11 cm)
2024-05-17 12:26:03,011 - Mouse moved to (40.80 cm, 25.11 cm)
2024-05-17 12:26:03,058 - Mouse moved to (40.98 cm, 25.11 cm)
2024-05-17 12:26:03,089 - Mouse moved to (41.86 cm, 25.56 cm)
2024-05-17 12:26:03,130 - Mouse moved to (42.28 cm, 25.93 cm)
2024-05-17 12:26:03,183 - Mouse moved to (42.73 cm, 26.38 cm)
2024-05-17 12:26:03,183 - Mouse moved to (42.76 cm, 26.43 cm)
2024-05-17 12:26:03,238 - Mouse moved to (42.76 cm, 26.46 cm)
2024-05-17 12:26:03,245 - Mouse moved to (42.76 cm, 26.48 cm)
2024-05-17 12:26:03,302 - Mouse moved to (42.76 cm, 26.54 cm)
2024-05-17 12:26:03,351 - Mouse moved to (42.76 cm, 26.54 cm)
2024-05-17 12:26:03,384 - Mouse moved to (42.65 cm, 26.59 cm)
2024-05-17 12:26:03,430 - Mouse moved to (42.10 cm, 26.75 cm)
2024-05-17 12:26:03,731 - Mouse Pressed at (1591, 1011) with Button.left
2024-05-17 12:26:03,854 - Mouse Released at (1591, 1011) with Button.left
2024-05-17 12:26:04,239 - Mouse scrolled at (42.10 cm, 26.75 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:26:04,269 - Mouse scrolled at (42.10 cm, 26.75 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:26:04,270 - Mouse scrolled at (42.10 cm, 26.75 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:26:04,306 - Mouse scrolled at (42.10 cm, 26.75 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:26:04,354 - Mouse scrolled at (42.10 cm, 26.75 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:26:04,385 - Mouse scrolled at (42.10 cm, 26.75 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:26:04,417 - Mouse scrolled at (42.10 cm, 26.75 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:26:04,486 - Mouse scrolled at (42.10 cm, 26.75 cm) with delta (0.00 cm, -0.03 cm)
2024-05-17 12:26:05,176 - Key.ctrl_l pressed
2024-05-17 12:26:05,673 - Key.ctrl_l pressed
2024-05-17 12:26:05,743 - Key.ctrl_l pressed
2024-05-17 12:26:05,743 - Key.ctrl_l pressed
2024-05-17 12:26:05,743 - Key.ctrl_l pressed
2024-05-17 12:26:05,821 - Key.ctrl_l pressed
2024-05-17 12:26:05,852 - Key.ctrl_l pressed
2024-05-17 12:26:05,883 - Key.ctrl_l pressed
2024-05-17 12:26:05,935 - Key.ctrl_l pressed
2024-05-17 12:26:05,937 - Key.ctrl_l pressed
2024-05-17 12:26:06,015 - Key.ctrl_l pressed
2024-05-17 12:26:06,077 - Key.ctrl_l pressed
2024-05-17 12:26:06,077 - Key.ctrl_l pressed
2024-05-17 12:26:06,136 - Key.ctrl_l pressed
2024-05-17 12:26:06,184 - Key.ctrl_l pressed
2024-05-17 12:26:06,184 - Key.ctrl_l pressed
2024-05-17 12:26:06,184 - Key.ctrl_l pressed
2024-05-17 12:26:06,184 - Key.ctrl_l pressed
2024-05-17 12:26:06,184 - Key.ctrl_l pressed
2024-05-17 12:26:06,246 - Key.ctrl_l pressed
2024-05-17 12:26:06,278 - Key.ctrl_l pressed
2024-05-17 12:26:06,340 - Key.ctrl_l pressed
2024-05-17 12:26:07,909 - Key.ctrl_l pressed
2024-05-17 12:26:08,398 - Key.ctrl_l pressed
2024-05-17 12:26:08,476 - Key.ctrl_l pressed
2024-05-17 12:26:08,522 - Key.ctrl_l pressed
2024-05-17 12:26:08,537 - Key.ctrl_l pressed
2024-05-17 12:26:08,568 - Key.ctrl_l pressed
